ID,receiver_country,receiver_region,receiver_name,receiver_category,receiver_category_subcode
25,Vietnam,ASIA; SCS; SEA,,State institutions / political system,Government / ministries
25,Vietnam,ASIA; SCS; SEA,,International / supranational organization,
25,Vietnam,ASIA; SCS; SEA,,Critical infrastructure,Energy
25,Vietnam,ASIA; SCS; SEA,,Critical infrastructure,Telecommunications
25,Vietnam,ASIA; SCS; SEA,,Critical infrastructure,Defence industry
25,Vietnam,ASIA; SCS; SEA,,Social groups,Other social groups
25,Vietnam,ASIA; SCS; SEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
25,Vietnam,ASIA; SCS; SEA,,Media,
25,Germany,EUROPE; NATO; EU; WESTEU,,State institutions / political system,Government / ministries
25,Germany,EUROPE; NATO; EU; WESTEU,,International / supranational organization,
25,Germany,EUROPE; NATO; EU; WESTEU,,Critical infrastructure,Energy
25,Germany,EUROPE; NATO; EU; WESTEU,,Critical infrastructure,Telecommunications
25,Germany,EUROPE; NATO; EU; WESTEU,,Critical infrastructure,Defence industry
25,Germany,EUROPE; NATO; EU; WESTEU,,Social groups,Other social groups
25,Germany,EUROPE; NATO; EU; WESTEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
25,Germany,EUROPE; NATO; EU; WESTEU,,Media,
25,India,ASIA; SASIA; SCO,,State institutions / political system,Government / ministries
25,India,ASIA; SASIA; SCO,,International / supranational organization,
25,India,ASIA; SASIA; SCO,,Critical infrastructure,Energy
25,India,ASIA; SASIA; SCO,,Critical infrastructure,Telecommunications
25,India,ASIA; SASIA; SCO,,Critical infrastructure,Defence industry
25,India,ASIA; SASIA; SCO,,Social groups,Other social groups
25,India,ASIA; SASIA; SCO,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
25,India,ASIA; SASIA; SCO,,Media,
25,Japan,ASIA; SCS; NEA,,State institutions / political system,Government / ministries
25,Japan,ASIA; SCS; NEA,,International / supranational organization,
25,Japan,ASIA; SCS; NEA,,Critical infrastructure,Energy
25,Japan,ASIA; SCS; NEA,,Critical infrastructure,Telecommunications
25,Japan,ASIA; SCS; NEA,,Critical infrastructure,Defence industry
25,Japan,ASIA; SCS; NEA,,Social groups,Other social groups
25,Japan,ASIA; SCS; NEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
25,Japan,ASIA; SCS; NEA,,Media,
25,United Kingdom,EUROPE; NATO; EU; NORTHEU,,State institutions / political system,Government / ministries
25,United Kingdom,EUROPE; NATO; EU; NORTHEU,,International / supranational organization,
25,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Critical infrastructure,Energy
25,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Critical infrastructure,Telecommunications
25,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Critical infrastructure,Defence industry
25,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Social groups,Other social groups
25,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
25,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Media,
26,United States,NATO; NORTHAM,,State institutions / political system,Government / ministries
26,United States,NATO; NORTHAM,,Critical infrastructure,Energy
26,United States,NATO; NORTHAM,,Critical infrastructure,Telecommunications
26,United States,NATO; NORTHAM,,Critical infrastructure,Defence industry
26,United States,NATO; NORTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
26,Brazil,SOUTHAM,,State institutions / political system,Government / ministries
26,Brazil,SOUTHAM,,Critical infrastructure,Energy
26,Brazil,SOUTHAM,,Critical infrastructure,Telecommunications
26,Brazil,SOUTHAM,,Critical infrastructure,Defence industry
26,Brazil,SOUTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
26,Canada,NATO; NORTHAM,,State institutions / political system,Government / ministries
26,Canada,NATO; NORTHAM,,Critical infrastructure,Energy
26,Canada,NATO; NORTHAM,,Critical infrastructure,Telecommunications
26,Canada,NATO; NORTHAM,,Critical infrastructure,Defence industry
26,Canada,NATO; NORTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
26,France,EUROPE; NATO; EU; WESTEU,,State institutions / political system,Government / ministries
26,France,EUROPE; NATO; EU; WESTEU,,Critical infrastructure,Energy
26,France,EUROPE; NATO; EU; WESTEU,,Critical infrastructure,Telecommunications
26,France,EUROPE; NATO; EU; WESTEU,,Critical infrastructure,Defence industry
26,France,EUROPE; NATO; EU; WESTEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
26,Switzerland,EUROPE; WESTEU,,State institutions / political system,Government / ministries
26,Switzerland,EUROPE; WESTEU,,Critical infrastructure,Energy
26,Switzerland,EUROPE; WESTEU,,Critical infrastructure,Telecommunications
26,Switzerland,EUROPE; WESTEU,,Critical infrastructure,Defence industry
26,Switzerland,EUROPE; WESTEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
26,Germany,EUROPE; NATO; EU; WESTEU,,State institutions / political system,Government / ministries
26,Germany,EUROPE; NATO; EU; WESTEU,,Critical infrastructure,Energy
26,Germany,EUROPE; NATO; EU; WESTEU,,Critical infrastructure,Telecommunications
26,Germany,EUROPE; NATO; EU; WESTEU,,Critical infrastructure,Defence industry
26,Germany,EUROPE; NATO; EU; WESTEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
26,India,ASIA; SASIA; SCO,,State institutions / political system,Government / ministries
26,India,ASIA; SASIA; SCO,,Critical infrastructure,Energy
26,India,ASIA; SASIA; SCO,,Critical infrastructure,Telecommunications
26,India,ASIA; SASIA; SCO,,Critical infrastructure,Defence industry
26,India,ASIA; SASIA; SCO,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
26,Japan,ASIA; SCS; NEA,,State institutions / political system,Government / ministries
26,Japan,ASIA; SCS; NEA,,Critical infrastructure,Energy
26,Japan,ASIA; SCS; NEA,,Critical infrastructure,Telecommunications
26,Japan,ASIA; SCS; NEA,,Critical infrastructure,Defence industry
26,Japan,ASIA; SCS; NEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
26,United Kingdom,EUROPE; NATO; EU; NORTHEU,,State institutions / political system,Government / ministries
26,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Critical infrastructure,Energy
26,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Critical infrastructure,Telecommunications
26,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Critical infrastructure,Defence industry
26,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
26,United Arab Emirates,ASIA; MENA; MEA; GULFC,,State institutions / political system,Government / ministries
26,United Arab Emirates,ASIA; MENA; MEA; GULFC,,Critical infrastructure,Energy
26,United Arab Emirates,ASIA; MENA; MEA; GULFC,,Critical infrastructure,Telecommunications
26,United Arab Emirates,ASIA; MENA; MEA; GULFC,,Critical infrastructure,Defence industry
26,United Arab Emirates,ASIA; MENA; MEA; GULFC,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
27,Belgium,EUROPE; EU; NATO; WESTEU,,Critical infrastructure,Finance
28,Denmark,EUROPE; NATO; EU; NORTHEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
28,Denmark,EUROPE; NATO; EU; NORTHEU,,End user(s) / specially protected groups,
28,Denmark,EUROPE; NATO; EU; NORTHEU,,Other,
29,United States,NATO; NORTHAM,,State institutions / political system,Government / ministries
30,Germany,EUROPE; NATO; EU; WESTEU,,State institutions / political system,Government / ministries
30,Germany,EUROPE; NATO; EU; WESTEU,,Media,
30,Afghanistan,ASIA; SASIA,,State institutions / political system,Government / ministries
30,Afghanistan,ASIA; SASIA,,Media,
31,United States,NATO; NORTHAM,,State institutions / political system,Legislative
31,United States,NATO; NORTHAM,,End user(s) / specially protected groups,
32,United States,NATO; NORTHAM,,State institutions / political system,Civil service / administration
33,United States,NATO; NORTHAM,,State institutions / political system,Military
33,United States,NATO; NORTHAM,,Science,
34,United States,NATO; NORTHAM,,State institutions / political system,Civil service / administration
34,United States,NATO; NORTHAM,,International / supranational organization,
34,United States,NATO; NORTHAM,,Critical infrastructure,
34,United States,NATO; NORTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
34,United States,NATO; NORTHAM,,Media,
34,United States,NATO; NORTHAM,,Science,
34,United Kingdom,EUROPE; NATO; EU; NORTHEU,,State institutions / political system,Civil service / administration
34,United Kingdom,EUROPE; NATO; EU; NORTHEU,,International / supranational organization,
34,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Critical infrastructure,
34,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
34,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Media,
34,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Science,
34,Canada,NATO; NORTHAM,,State institutions / political system,Civil service / administration
34,Canada,NATO; NORTHAM,,International / supranational organization,
34,Canada,NATO; NORTHAM,,Critical infrastructure,
34,Canada,NATO; NORTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
34,Canada,NATO; NORTHAM,,Media,
34,Canada,NATO; NORTHAM,,Science,
34,Taiwan,ASIA; SCS,,State institutions / political system,Civil service / administration
34,Taiwan,ASIA; SCS,,International / supranational organization,
34,Taiwan,ASIA; SCS,,Critical infrastructure,
34,Taiwan,ASIA; SCS,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
34,Taiwan,ASIA; SCS,,Media,
34,Taiwan,ASIA; SCS,,Science,
34,Singapore,ASIA,,State institutions / political system,Civil service / administration
34,Singapore,ASIA,,International / supranational organization,
34,Singapore,ASIA,,Critical infrastructure,
34,Singapore,ASIA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
34,Singapore,ASIA,,Media,
34,Singapore,ASIA,,Science,
34,Switzerland,EUROPE; WESTEU,,State institutions / political system,Civil service / administration
34,Switzerland,EUROPE; WESTEU,,International / supranational organization,
34,Switzerland,EUROPE; WESTEU,,Critical infrastructure,
34,Switzerland,EUROPE; WESTEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
34,Switzerland,EUROPE; WESTEU,,Media,
34,Switzerland,EUROPE; WESTEU,,Science,
34,Belgium,EUROPE; EU; NATO; WESTEU,,State institutions / political system,Civil service / administration
34,Belgium,EUROPE; EU; NATO; WESTEU,,International / supranational organization,
34,Belgium,EUROPE; EU; NATO; WESTEU,,Critical infrastructure,
34,Belgium,EUROPE; EU; NATO; WESTEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
34,Belgium,EUROPE; EU; NATO; WESTEU,,Media,
34,Belgium,EUROPE; EU; NATO; WESTEU,,Science,
34,Israel,ASIA; MENA; MEA,,State institutions / political system,Civil service / administration
34,Israel,ASIA; MENA; MEA,,International / supranational organization,
34,Israel,ASIA; MENA; MEA,,Critical infrastructure,
34,Israel,ASIA; MENA; MEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
34,Israel,ASIA; MENA; MEA,,Media,
34,Israel,ASIA; MENA; MEA,,Science,
34,India,ASIA; SASIA; SCO,,State institutions / political system,Civil service / administration
34,India,ASIA; SASIA; SCO,,International / supranational organization,
34,India,ASIA; SASIA; SCO,,Critical infrastructure,
34,India,ASIA; SASIA; SCO,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
34,India,ASIA; SASIA; SCO,,Media,
34,India,ASIA; SASIA; SCO,,Science,
34,Japan,ASIA; SCS; NEA,,State institutions / political system,Civil service / administration
34,Japan,ASIA; SCS; NEA,,International / supranational organization,
34,Japan,ASIA; SCS; NEA,,Critical infrastructure,
34,Japan,ASIA; SCS; NEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
34,Japan,ASIA; SCS; NEA,,Media,
34,Japan,ASIA; SCS; NEA,,Science,
35,Russia,EUROPE; EASTEU; CSTO; SCO,,State institutions / political system,Government / ministries
35,Russia,EUROPE; EASTEU; CSTO; SCO,,State institutions / political system,Military
35,Russia,EUROPE; EASTEU; CSTO; SCO,,Critical infrastructure,Energy
35,Russia,EUROPE; EASTEU; CSTO; SCO,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
35,Kazakhstan,ASIA; CSTO; SCO,,State institutions / political system,Government / ministries
35,Kazakhstan,ASIA; CSTO; SCO,,State institutions / political system,Military
35,Kazakhstan,ASIA; CSTO; SCO,,Critical infrastructure,Energy
35,Kazakhstan,ASIA; CSTO; SCO,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
35,Azerbaijan,ASIA; CENTAS,,State institutions / political system,Government / ministries
35,Azerbaijan,ASIA; CENTAS,,State institutions / political system,Military
35,Azerbaijan,ASIA; CENTAS,,Critical infrastructure,Energy
35,Azerbaijan,ASIA; CENTAS,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
35,Belgium,EUROPE; EU; NATO; WESTEU,,State institutions / political system,Government / ministries
35,Belgium,EUROPE; EU; NATO; WESTEU,,State institutions / political system,Military
35,Belgium,EUROPE; EU; NATO; WESTEU,,Critical infrastructure,Energy
35,Belgium,EUROPE; EU; NATO; WESTEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
35,India,ASIA; SASIA; SCO,,State institutions / political system,Government / ministries
35,India,ASIA; SASIA; SCO,,State institutions / political system,Military
35,India,ASIA; SASIA; SCO,,Critical infrastructure,Energy
35,India,ASIA; SASIA; SCO,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
35,Afghanistan,ASIA; SASIA,,State institutions / political system,Government / ministries
35,Afghanistan,ASIA; SASIA,,State institutions / political system,Military
35,Afghanistan,ASIA; SASIA,,Critical infrastructure,Energy
35,Afghanistan,ASIA; SASIA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
35,Armenia,ASIA; CENTAS; CSTO,,State institutions / political system,Government / ministries
35,Armenia,ASIA; CENTAS; CSTO,,State institutions / political system,Military
35,Armenia,ASIA; CENTAS; CSTO,,Critical infrastructure,Energy
35,Armenia,ASIA; CENTAS; CSTO,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
35,"Iran, Islamic Republic of",ASIA; MENA; MEA,,State institutions / political system,Government / ministries
35,"Iran, Islamic Republic of",ASIA; MENA; MEA,,State institutions / political system,Military
35,"Iran, Islamic Republic of",ASIA; MENA; MEA,,Critical infrastructure,Energy
35,"Iran, Islamic Republic of",ASIA; MENA; MEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
35,Turkmenistan,ASIA,,State institutions / political system,Government / ministries
35,Turkmenistan,ASIA,,State institutions / political system,Military
35,Turkmenistan,ASIA,,Critical infrastructure,Energy
35,Turkmenistan,ASIA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
35,Ukraine,EUROPE; EASTEU,,State institutions / political system,Government / ministries
35,Ukraine,EUROPE; EASTEU,,State institutions / political system,Military
35,Ukraine,EUROPE; EASTEU,,Critical infrastructure,Energy
35,Ukraine,EUROPE; EASTEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
36,United States,NATO; NORTHAM,,Critical infrastructure,Defence industry
37,Sweden,EUROPE; EU; NORTHEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
37,Sweden,EUROPE; EU; NORTHEU,,End user(s) / specially protected groups,
37,Sweden,EUROPE; EU; NORTHEU,,Other,
38,Turkey,ASIA; NATO; MEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
38,Turkey,ASIA; NATO; MEA,,Science,
38,Turkey,ASIA; NATO; MEA,,Other,
39,"Iran, Islamic Republic of",ASIA; MENA; MEA,,State institutions / political system,Government / ministries
39,"Iran, Islamic Republic of",ASIA; MENA; MEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
39,"Iran, Islamic Republic of",ASIA; MENA; MEA,,End user(s) / specially protected groups,
39,United States,NATO; NORTHAM,,State institutions / political system,Government / ministries
39,United States,NATO; NORTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
39,United States,NATO; NORTHAM,,End user(s) / specially protected groups,
39,Denmark,EUROPE; NATO; EU; NORTHEU,,State institutions / political system,Government / ministries
