ID,name,description,start_date,end_date,inclusion_criteria,inclusion_criteria_subcode,source_incident_detection_disclosure,incident_type,receiver_name,receiver_country,receiver_region,receiver_category,receiver_category_subcode,initiator_name,initiator_country,initiator_category,initiator_category_subcode,number_of_attributions,attribution_date,attribution_type,attribution_basis,attributing_actor,attribution_it_company,attributing_country,attributed_initiator,attributed_initiator_country,attributed_initiator_category,attributed_initiator_subcategory,sources_attribution,cyber_conflict_issue,offline_conflict_issue,offline_conflict_name_HIIK,offline_conflict_intensity,offline_conflict_intensity_subcode,number_of_political_responses,political_response_date,political_response_type,political_response_type_subcode,political_response_country,political_response_actor,zero_days,zero_days_subcode,MITRE_initial_access,MITRE_impact,user_interaction,has_disruption,data_theft,disruption,hijacking,physical_effects_spatial,physical_effects_temporal,unweighted_cyber_intensity,target_multiplier,weighted_cyber_intensity,impact_indicator,impact_indicator_value,functional_impact,intelligence_impact,political_impact_affected_entities,political_impact_affected_entities_exact_value,political_impact_third_countries,political_impact_third_countries_exact_value,economic_impact,economic_impact_exact_value,economic_impact_currency,state_responsibility_indicator,IL_breach_indicator,IL_breach_indicator_subcode,evidence_for_sanctions_indicator,number_of_legal_responses,legal_response_date,legal_response_type,legal_response_type_subcode,legal_response_country,legal_response_actor,legal_attribution_reference,legal_attribution_reference_subcode,legal_response_indicator,casualties,sources_url
447,Chinese Attack on DRDO,"Indian Defence Research and Development Organization (DRDO,part of the Ministry of Defense) was hacked.Highly sensitive , strategic data was stolen and collected on a server in China.",2013-03-01,2014-03-01,"Attack on (inter alia) political target(s), not politicized",,Incident disclosed by victim,Data theft,,['India'],"[['ASIA', 'SASIA', 'SCO']]","[['State institutions / political system', 'State institutions / political system', 'Science']]","[['Government / ministries', 'Military', '']]",,['China'],['Unknown - not attributed'],,1,,"Attribution given, type unclear",Media-based attribution,,,,,China,Unknown - not attributed,,[],International power,Territory; Resources; International power,,Yes / HIIK intensity,HIIK 2,0,,,,,,No,,,,,False,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),none,none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,"['https://www.newindianexpress.com/nation/2013/mar/14/chinese-hack-drdo-computers-antony-seeks-report-458371.html', 'https://www.hackread.com/indian-defence-organisation-drdo-servers-hacked-china-among-the-suspects/', 'https://timesofindia.indiatimes.com/india/DRDO-computers-hacked/articleshow/18955837.cms']"
448,phr0zen myst pakistani dataleak,"Hacker publishes databases and login data,after breaching the websites of the Bangladeshi Ministry of Agriculture and the Supreme Court, in protest against violence at demonstrations.",2013-03-06,2013-03-06,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",,Incident disclosed by attacker,Data theft & Doxing,,['Bangladesh'],"[['ASIA', 'SASIA']]","[['State institutions / political system', 'State institutions / political system']]","[['Government / ministries', 'Judiciary']]",['phr0zenmyst'],['Unknown'],['Non-state-group'],['Hacktivist(s)'],1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,phr0zenmyst,Unknown,Non-state-group,Hacktivist(s),[],System / ideology,System/ideology; Other,,Yes / HIIK intensity,HIIK 3,0,,,,,,No,,,,,False,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),none,none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://www.hackread.com/bangladeshi-supreme-court-ministry-of-agriculture-websites-breached-user-accounts-leaked-phr0zenmyst/']
449,OP BlackSummer,"With support of Chinese hackers, hackers of the Tunisian CyberArmy and the Al-Qaeda ElectronicArmy steal data from the website of the Pentagon and other US-American government websites.",2013-03-10,2013-03-12,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",,Incident disclosed by attacker,Data theft,,['United States'],"[['NATO', 'NORTHAM']]",[['State institutions / political system']],[['Government / ministries']],"['Tunisian Cyber Army', 'Al-Qaeda Electronic Army']","['China', 'Tunisia', 'China', 'Tunisia']","['Non-state-group', 'Non-state-group']","['Hacktivist(s)', 'Hacktivist(s)']",1,,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media; Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media; Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media; Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Attacker confirms; Attacker confirms; Attacker confirms; Attacker confirms,,,,Tunisian Cyber Army; Tunisian Cyber Army; Al-Qaeda Electronic Army; Al-Qaeda Electronic Army,China; Tunisia; China; Tunisia,Non-state-group; Non-state-group; Non-state-group; Non-state-group,Hacktivist(s); Hacktivist(s); Hacktivist(s); Hacktivist(s),['https://blog.sensecy.com/tag/opblacksummer/'],System / ideology,Unknown,,Unknown,,0,,,,,,No,,,,,False,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),none,none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,"['http://www.ehackingnews.com/2013/03/al-qaeda-electronic-army-hack-us-government.html', 'http://www.ehackingnews.com/2013/03/hackers-infect-pentagon-admin-by.html', 'https://blog.sensecy.com/tag/opblacksummer/']"
450,Godzilla vs. Pakistani Government,"After gaining access to an important government server, an Indian hacker shuts down several Pakistani government websites. He later also publishes admin login data for several servers. He accuses Pakistan of supporting and executing terrorism.",2013-03-11,2013-03-13,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",,Incident disclosed by attacker,Data theft & Doxing; Disruption,,['Pakistan'],"[['ASIA', 'SASIA', 'SCO']]",[['State institutions / political system']],[['Government / ministries']],['Godzilla'],['India'],['Non-state-group'],['Hacktivist(s)'],1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Godzilla,India,Non-state-group,Hacktivist(s),[],System / ideology; International power,Territory; International power,,Yes / HIIK intensity,HIIK 3,0,,,,,,No,,,,,True,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,2,Moderate - high political importance,2.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://news.softpedia.com/news/Indian-Hacker-Causes-Several-Pakistani-Government-Sites-to-Become-Inaccessible-336159.shtml']
451,Anti-NK DDOS,"North Korea has been hit by a massive cyber attack according the declaration of a South Korean government official that also added the government of Seoul is investigating on the event denying every responsibility. Russia’s ITAR-TASS news agency, which has an office in Pyongyang, reported the events on Wednesday night, all web sites of the country went offline until late Thursday afternoon.",2013-03-13,2013-03-14,"Attack on (inter alia) political target(s), politicized",,Incident disclosed by media (without further information on source),Disruption,,"[""Korea, Democratic People's Republic of""]","[['ASIA', 'NEA']]","[['Critical infrastructure', 'Media']]","[['Telecommunications', '']]",,"['Korea, Republic of', 'United States']",['State'],,1,2013-01-01; 2013-01-01,"Political statement / report (e.g., on government / state agency websites); Political statement / report (e.g., on government / state agency websites)",Attribution by receiver government / state entity; Attribution by receiver government / state entity,,,,,"Korea, Republic of; United States",State; State,,[],System / ideology; Territory; International power,System/ideology; Territory; International power,,Yes / HIIK intensity,HIIK 2,0,,,,,,No,,,,,True,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['http://securityaffairs.co/wordpress/13005/security/n-korea-hit-by-large-scale-cyber-attackrepercussions-in-cyberspace.html']
452,Anonymous vs. Iranian Parliament,"Hacker affiliated with Anonymous takes down Iranian websites of parliament, Economic Research Institute and Aerospace Industries Organization.",2013-03-14,2013-03-15,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",,Incident disclosed by attacker,Disruption,,"['Iran, Islamic Republic of']","[['ASIA', 'MENA', 'MEA']]","[['State institutions / political system', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)', 'Science']]","[['Legislative', '', '']]",['Cyper (Anonymous)'],['Unknown'],['Non-state-group'],['Hacktivist(s)'],1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Cyper (Anonymous),Unknown,Non-state-group,Hacktivist(s),[],System / ideology,System/ideology; National power; Third-party intervention / third-party affection,,Yes / HIIK intensity,HIIK 2,0,,,,,,No,,,,,True,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://news.softpedia.com/news/OpIran-Hacktivists-Launch-DDOS-Attacks-Against-Major-Iranian-Sites-337585.shtml']
453,Going Greyhat,German hacker publishes login data of Turkish Ministry of Economy and Central Finance and Contracts Unit's websites to show their vulnerabilities.,2013-03-18,2013-03-18,"Attack on (inter alia) political target(s), not politicized",,Incident disclosed by attacker,Data theft & Doxing,,['Turkey'],"[['ASIA', 'NATO', 'MEA']]",[['State institutions / political system']],[['Government / ministries']],['D35m0nd142'],['Germany'],['Non-state-group'],['Private technology companies / hacking for hire groups without state affiliation / research entities'],1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,D35m0nd142,Germany,Non-state-group,Private technology companies / hacking for hire groups without state affiliation / research entities,[],Cyber-specific,Unknown,,Unknown,,0,,,,,,No,,,,,False,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),none,none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://news.softpedia.com/news/Turkey-s-Ministry-of-Economy-and-Central-Finance-and-Contracts-Unit-Hacked-338107.shtml']
454,Dark Seoul 2013I,"Two South Korean banks and television broadcasters experience disruption after""logicbomb"" is (allegedly) placed by NorthKorea.",2013-03-20,2013-03-20,"Attack conducted by nation state (generic “state-attribution” or direct attribution towards specific state-entities, e.g., intelligence agencies); Attack on (inter alia) political target(s), politicized",,Incident disclosed by authorities of victim state,Disruption; Hijacking with Misuse,,"['Korea, Republic of']","[['ASIA', 'SCS', 'NEA']]","[['Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)', 'Media']]",,"['Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)']","[""Korea, Democratic People's Republic of""]",['State'],,2,2013-01-01; 2013-01-01,"Political statement / report (e.g., on government / state agency websites); Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by receiver government / state entity; IT-security community attributes attacker,,,,"Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110); Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)","Korea, Democratic People's Republic of; Korea, Democratic People's Republic of","State; Non-state actor, state-affiliation suggested",,"['https://www.reuters.com/article/us-sony-cybersecurity-northkorea/for-north-koreas-cyber-army-long-term-target-may-be-telecoms-utility-grids-idUSKBN0JX0JW20141219', 'https://www.wsj.com/articles/SB10001424127887324136204578639540757695644']",System / ideology,System/ideology; Territory; International power,,Yes / HIIK intensity,HIIK 2,0,,,,,,No,,,,,True,none,Long-term disruption (> 24h; incident scores 2 points in intensity),"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",none,none,4,Moderate - high political importance,4.0,,,,,,,,,,,,,,,,0,,,,,,,,,,"['https://www.wired.com/2013/03/logic-bomb-south-korea-attack/', 'https://www.reuters.com/article/us-sony-cybersecurity-northkorea/for-north-koreas-cyber-army-long-term-target-may-be-telecoms-utility-grids-idUSKBN0JX0JW20141219', 'https://www.wsj.com/articles/SB10001424127887324136204578639540757695644', 'https://www.theguardian.com/world/2013/mar/20/south-korea-under-cyber-attack', 'https://thediplomat.com/2022/10/the-future-of-south-korea-us-cyber-cooperation/']"
455,Syrian Electronic Army vs. BBCs Twitter,Hackers from 'Syrian Electronic Army' post tweets on BBC account apparently backing Basharal-Assad,2013-03-21,2013-03-21,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals","Attack conducted by a state-affiliated group (includes state-sanctioned, state-supported, state-controlled but officially non-state actors) (“cyber-proxies”) / a group that is generally attributed as state-affiliated ",Incident disclosed by attacker,Disruption,,['United Kingdom'],"[['EUROPE', 'NATO', 'EU', 'NORTHEU']]",[['Media']],,['Syrian Electronic Army'],['Syria'],"['Non-state actor, state-affiliation suggested']","['Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)']",2,2013-01-01; 2013-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF); Self-attribution in the course of the attack (e.g., via defacement statements on websites)",IT-security community attributes attacker; Attacker confirms,,,,Syrian Electronic Army; Syrian Electronic Army,Syria; Syria,"Non-state actor, state-affiliation suggested; Non-state actor, state-affiliation suggested","Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case); Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)",['https://www.fireeye.com/blog/threat-research/2014/08/connecting-the-dots-syrian-malware-team-uses-blackworm-for-attacks.html'],System / ideology,Unknown,,Unknown,,0,,,,,,No,,,,,True,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,"['https://www.theguardian.com/media/2013/mar/21/bbc-weather-twitter-syrian-regime', 'https://www.fireeye.com/blog/threat-research/2014/08/connecting-the-dots-syrian-malware-team-uses-blackworm-for-attacks.html']"
456,Sector404 vs. Mossad,"The hacktivist group ""Sector404"" has launched a distributed denial-of-service (DDOS) attack against mossad.gov.il, the official website of the Israeli Secret Intelligence Service.",2013-03-23,2013-03-23,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",,Incident disclosed by attacker,Disruption,,['Israel'],"[['ASIA', 'MENA', 'MEA']]",[['State institutions / political system']],[['Intelligence agencies']],['Sector 404'],['Unknown'],['Non-state-group'],['Hacktivist(s)'],1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Sector 404,Unknown,Non-state-group,Hacktivist(s),[],Unknown,Unknown,,Unknown,,0,,,,,,No,,,,,True,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['http://news.softpedia.com/news/Hackers-Take-Down-Official-Mossad-Website-Details-of-30-000-Israeli-Officials-Leaked-339742.shtml']
457,Anonymous and RedHack Leak,"Hackers of Anonymous and RedHack published the personal details of more than 30,000 people, including politicians, government employees, military and police officials.",2013-03-23,2013-03-23,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",,Incident disclosed by attacker,Data theft & Doxing,,['Israel'],"[['ASIA', 'MENA', 'MEA']]","[['State institutions / political system', 'State institutions / political system', 'State institutions / political system']]","[['Government / ministries', 'Military', 'Police']]","['RedHack', 'Anonymous']","['Unknown', 'Unknown']","['Non-state-group', 'Non-state-group']","['Hacktivist(s)', 'Hacktivist(s)']",1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites); Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms; Attacker confirms,,,,RedHack; Anonymous,Unknown; Unknown,Non-state-group; Non-state-group,Hacktivist(s); Hacktivist(s),[],Unknown,Unknown,,Unknown,,0,,,,,,No,,,,,False,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),none,none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,[]
458,Shutdown of Pakistan Electoral Commission,"Website of Pakistan's Electoral Commission Website is attacked, probably by""Russian and Asianhackers"", and inaccessable.",2013-03-29,2013-03-30,"Attack on (inter alia) political target(s), not politicized",,Incident disclosed by attacker,Disruption,,['Pakistan'],"[['ASIA', 'SASIA', 'SCO']]","[['State institutions / political system', 'State institutions / political system']]","[['Civil service / administration', 'Election infrastructure / related systems']]",['Not available'],"['India', 'Russia', 'Asia (region)']",['Unknown - not attributed'],,3,,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media; Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media; Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media; Self-attribution in the course of the attack (e.g., via defacement statements on websites); Self-attribution in the course of the attack (e.g., via defacement statements on websites); Self-attribution in the course of the attack (e.g., via defacement statements on websites); Attribution given, type unclear; Attribution given, type unclear; Attribution given, type unclear",Receiver attributes attacker; Receiver attributes attacker; Receiver attributes attacker; Media-based attribution; Media-based attribution; Media-based attribution; Contested attribution; Contested attribution; Contested attribution,,,,,India; Russia; Asia (region); India; Russia; Asia (region); India; Russia; Asia (region),Unknown - not attributed; Unknown - not attributed; Unknown - not attributed; Unknown - not attributed; Unknown - not attributed; Unknown - not attributed; Unknown - not attributed; Unknown - not attributed; Unknown - not attributed,,[],Unknown,Unknown,,Unknown,,0,,,,,,No,,,,,True,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1.0,,0.0,,,,0.0,,0.0,,0.0,euro,,,,,0,,,,,,,,,,"['https://www.hackread.com/massive-cyber-attack-on-election-commission-of-pakistan-servers-by-asian-russian-hackers/', 'https://advox.globalvoices.org/2013/04/01/cyber-attack-on-pakistans-electoral-commission-website/']"
459,Anonymous vs. North Korea,"Hacker collective Anonymous repeatedly hacks into North Korean propaganda websites and online accounts, posts pictures that mock Kim Jong Un.",2013-04-04,2013-04-15,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",,Incident disclosed by attacker,Disruption,,"[""Korea, Democratic People's Republic of""]","[['ASIA', 'NEA']]",[['Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)']],,['Anonymous'],['Unknown'],['Non-state-group'],['Hacktivist(s)'],1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Anonymous,Unknown,Non-state-group,Hacktivist(s),[],System / ideology,Unknown,,Unknown,,0,,,,,,No,,,,,True,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,"['https://www.cnet.com/news/anonymous-again-hacks-into-north-korean-web-sites/', 'https://arstechnica.com/information-technology/2013/04/anonymous-hackers-take-control-of-north-korean-propaganda-sites/']"
460,Anonymous attack on Israel (Holocaust Remebrance Day),"Anonymous attacks Israeli websites, twitter and bank accounts on Holocaust memorial day, to protest its policy towards Palestine. Israeli officials say that not much damage has been done.",2013-04-07,2013-04-07,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals; Attack on (inter alia) political target(s), politicized",,Incident disclosed by attacker,Disruption,,['Israel'],"[['ASIA', 'MENA', 'MEA']]","[['State institutions / political system', 'Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)', 'End user(s) / specially protected groups']]","[['Government / ministries', '', '']]",['Anonymous'],['Unknown'],['Non-state-group'],['Hacktivist(s)'],1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Anonymous,Unknown,Non-state-group,Hacktivist(s),[],System / ideology; Territory; International power,System/ideology; Resources; Secession; Third-party intervention / third-party affection,,Yes / HIIK intensity,HIIK 3,0,,,,,,No,,,,,True,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://www.theatlantic.com/international/archive/2013/04/anonymous-hits-israel-massive-cyber-attack-israel-attacks-back/316538/']
461,Anonymous vs. Gabon Part II,Hacker collective Anonymous takes down webpages of Gabonese government to protest ritual killings.,2013-04-19,2013-04-19,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",,Incident disclosed by attacker,Disruption,,['Gabon'],"[['AFRICA', 'SSA']]",[['State institutions / political system']],[['Government / ministries']],['Anonymous'],['Unknown'],['Non-state-group'],['Hacktivist(s)'],1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Anonymous,Unknown,Non-state-group,Hacktivist(s),[],System / ideology,Unknown,,Unknown,,0,,,,,,No,,,,,True,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['https://news.softpedia.com/news/OpGabon-Gabon-Ministry-of-Justice-Other-Government-Sites-Attacked-by-Anonymous-346887.shtml']
462,AP Twitter Hack SEA,"Hackers of the Syrian Electronic Army prompt a 143-point fall in the Dow Jones industrial average after sending a message from the Twitter feed of the Associated Press, saying the White House had been hit by two explosions and that Barack Obama was injured. The fake tweet, which was immediately corrected by Associated Press employees, caused a sensation on Twitter and in the stock market. Later on, three Members of the SEA have been indicted for the attack by the US.",2013-04-23,2013-04-23,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",,Incident disclosed by victim,Disruption,,['United States'],"[['NATO', 'NORTHAM']]",[['Media']],,['Syrian Electronic Army'],['Syria'],"['Non-state actor, state-affiliation suggested']","['Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)']",2,2013-01-01; 2013-01-01,"Domestic legal action; Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attribution by receiver government / state entity; Attacker confirms,,,,Syrian Electronic Army; Syrian Electronic Army,Syria; Syria,"Non-state actor, state-affiliation suggested; Non-state actor, state-affiliation suggested","Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case); Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)","['https://www.nytimes.com/2013/05/18/technology/financial-times-site-is-hacked.html?pagewanted=all&_r=0', 'https://www.fireeye.com/blog/threat-research/2014/08/connecting-the-dots-syrian-malware-team-uses-blackworm-for-attacks.html', 'https://www.ap.org/ap-in-the-news/2016/us-indicts-3-it-ties-to-syrian-electronic-army-for-hacking']",System / ideology; International power,System/ideology; International power,,Yes / HIIK intensity,HIIK 2,0,,,,,,No,,,,,True,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,"['https://www.securityweek.com/syrian-electronic-army-members-face-hacking-charges', 'https://www.washingtonpost.com/news/worldviews/wp/2013/04/23/syrian-hackers-claim-ap-hack-that-tipped-stock-market-by-136-billion-is-it-terrorism/?noredirect=on&utm_term=.b4388c4184ad', 'https://www.nytimes.com/2013/05/18/technology/financial-times-site-is-hacked.html?pagewanted=all&_r=0', 'https://www.fireeye.com/blog/threat-research/2014/08/connecting-the-dots-syrian-malware-team-uses-blackworm-for-attacks.html', 'https://www.ap.org/ap-in-the-news/2016/us-indicts-3-it-ties-to-syrian-electronic-army-for-hacking', 'https://www.theguardian.com/business/2013/apr/23/ap-tweet-hack-wall-street-freefall']"
463,Syrian Electronic Army vs. Guardian,"Syrian Electronic Army hackers capture twitteraccounts of the Guardian ,post pro-Assad messages.",2013-04-30,2013-04-30,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals","Attack conducted by a state-affiliated group (includes state-sanctioned, state-supported, state-controlled but officially non-state actors) (“cyber-proxies”) / a group that is generally attributed as state-affiliated ",Incident disclosed by attacker,Disruption,,['United Kingdom'],"[['EUROPE', 'NATO', 'EU', 'NORTHEU']]",[['Media']],,['Syrian Electronic Army'],['Syria'],"['Non-state actor, state-affiliation suggested']","['Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)']",1,2013-01-01 00:00:00,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Syrian Electronic Army,Syria,"Non-state actor, state-affiliation suggested","Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)","['https://www.nytimes.com/2013/05/18/technology/financial-times-site-is-hacked.html?pagewanted=all&_r=0', 'https://www.fireeye.com/blog/threat-research/2014/08/connecting-the-dots-syrian-malware-team-uses-blackworm-for-attacks.html']",System / ideology,Unknown,,Unknown,,0,,,,,,No,,,,,True,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,"['https://www.independent.co.uk/news/media/press/syrian-electronic-army-hackers-attack-guardian-twitter-accounts-8597629.html', 'https://www.nytimes.com/2013/05/18/technology/financial-times-site-is-hacked.html?pagewanted=all&_r=0', 'https://www.fireeye.com/blog/threat-research/2014/08/connecting-the-dots-syrian-malware-team-uses-blackworm-for-attacks.html']"
464,Australia Theft of Spy Headquarters,Chinese hackers have stolen the blueprints of a new multi-million-dollar Australian spy headquarters and other confidential information from the Australian Secret Intelligence Service.,2013-05-01,2013-05-01,"Attack on (inter alia) political target(s), politicized",,Incident disclosed by media (without further information on source),Data theft,,['Australia'],[['OC']],[['State institutions / political system']],[['Intelligence agencies']],,['China'],['Unknown - not attributed'],,1,,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,,,,,China,Unknown - not attributed,,[],Unknown,Unknown,,Unknown,,0,,,,,,No,,,,,False,For private / commercial targets: sensitive information (incident scores 2 points in intensity),none,none,none,none,2,Moderate - high political importance,2.0,,,,,,,,,,,,,,,,0,,,,,,,,,,"['https://www.reuters.com/article/us-australia-hacking-idUSBRE94R02A20130528?feedType=RSS', 'https://www.theguardian.com/world/2013/may/28/china-asio-australian-spy-hq-hacking-claims']"
465,RedHack vs. Government of Istanbul,"Turkish hackergroup RedHack defaces webpage of the Government of Istanbul, leaves anti-government messages.",2013-05-06,2013-05-06,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",,Incident disclosed by attacker,Disruption,,['Turkey'],"[['ASIA', 'NATO', 'MEA']]",[['State institutions / political system']],[['Government / ministries']],['RedHack'],['Turkey'],['Non-state-group'],['Hacktivist(s)'],1,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,RedHack,Turkey,Non-state-group,Hacktivist(s),[],System / ideology; National power,System/ideology,,Yes / HIIK intensity,HIIK 3,0,,,,,,No,,,,,True,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1.0,,,,,,,,,,,,,,,,0,,,,,,,,,,['http://www.ehackingnews.com/2013/05/istanbul-government-website-hacked-by.html']
